TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
1153,0000	78,415
1152,0000	78,4586
1151,0000	78,4373
1150,0000	78,5094
1149,0000	78,5192
1148,0000	78,4709
1147,0000	78,4474
1146,0000	78,43
1145,0000	78,4316
1144,0000	78,432
1143,0000	78,4568
1142,0000	78,4321
1141,0000	78,4493
1140,0000	78,4869
1139,0000	78,502
1138,0000	78,4851
1137,0000	78,4676
1136,0000	78,4555
1135,0000	78,4347
1134,0000	78,454
1133,0000	78,4772
1132,0000	78,5221
1131,0000	78,5019
1130,0000	78,5074
1129,0000	78,5104
1128,0000	78,4628
1127,0000	78,4982
1126,0000	78,5125
1125,0000	78,5563
1124,0000	78,5449
1123,0000	78,5689
1122,0000	78,542
1121,0000	78,5059
1120,0000	78,5286
1119,0000	78,5011
1118,0000	78,5382
1117,0000	78,5134
1116,0000	78,5545
1115,0000	78,5695
1114,0000	78,5405
1113,0000	78,5461
1112,0000	78,537
1111,0000	78,5826
1110,0000	78,6329
1109,0000	78,6352
1108,0000	78,6598
1107,0000	78,6405
1106,0000	78,5592
1105,0000	78,5919
1104,0000	78,538
1103,0000	78,5405
1102,0000	78,6143
1101,0000	78,6152
1100,0000	78,6551
1099,0000	78,653
1098,0000	78,614
1097,0000	78,6199
1096,0000	78,6224
1095,0000	78,6497
1094,0000	78,6839
1093,0000	78,7142
1092,0000	78,7199
1091,0000	78,7114
1090,0000	78,7429
1089,0000	78,7073
1088,0000	78,6863
1087,0000	78,6855
1086,0000	78,6448
1085,0000	78,6395
1084,0000	78,6363
1083,0000	78,6348
1082,0000	78,6573
1081,0000	78,6537
1080,0000	78,6635
1079,0000	78,6807
1078,0000	78,6673
1077,0000	78,6854
1076,0000	78,6946
1075,0000	78,6691
1074,0000	78,6566
1073,0000	78,6712
1072,0000	78,6671
1071,0000	78,652
1070,0000	78,7026
1069,0000	78,7076
1068,0000	78,7281
1067,0000	78,7676
1066,0000	78,7584
1065,0000	78,7411
1064,0000	78,7546
1063,0000	78,738
1062,0000	78,779
1061,0000	78,7855
1060,0000	78,7775
1059,0000	78,7902
1058,0000	78,7915
1057,0000	78,8224
1056,0000	78,8091
1055,0000	78,8264
1054,0000	78,8104
1053,0000	78,8222
1052,0000	78,8621
1051,0000	78,8587
1050,0000	78,8213
1049,0000	78,7961
1048,0000	78,7788
1047,0000	78,7916
1046,0000	78,8477
1045,0000	78,8701
1044,0000	78,87
1043,0000	78,8675
1042,0000	78,8542
1041,0000	78,838
1040,0000	78,8791
1039,0000	78,8801
1038,0000	78,8655
1037,0000	78,8639
1036,0000	78,8384
1035,0000	78,8539
1034,0000	78,8635
1033,0000	78,8546
1032,0000	78,8313
1031,0000	78,8081
1030,0000	78,8425
1029,0000	78,8663
1028,0000	78,9522
1027,0000	78,9653
1026,0000	78,9452
1025,0000	78,9882
1024,0000	78,9139
1023,0000	78,9118
1022,0000	78,885
1021,0000	78,8404
1020,0000	78,8678
1019,0000	78,8808
1018,0000	78,9152
1017,0000	78,9616
1016,0000	78,9645
1015,0000	78,98
1014,0000	78,9825
1013,0000	78,9257
